Ticker,Name,Sector,Industry,Price,Div_Yield,PE,Ind_PE,PEG,Ind_PEG,PB,Ind_PB,EV_EBITDA,Ind_EV_EBITDA,EV_Sales,Ind_EV_Sales,Debt_EBITDA,Ind_Debt_EBITDA,Beta,Short_Perc_Float
HTGC,"Hercules Capital, Inc.",Financial Services,Asset Management,16.48,12.04,8.72,12.37,1.67,1.86,1.5,3.49,13.73,13.34,10.84,3.11,6.02,2.9,1.36,6.24
INGR,Ingredion Incorporated,Consumer Defensive,Packaged Foods,108.06,2.63,11.17,18.32,1.16,3.98,2.18,4.46,9.06,15.9,1.17,2.17,2.49,3.59,0.78,0.75
KNX,Knight-Swift Transportation Hol,Industrials,Trucking,56.37,0.99,14.45,14.64,3.83,11.42,1.29,2.9,7.14,7.53,1.5,1.62,1.31,0.95,1.17,4.95
DHT,"DHT Holdings, Inc.",Energy,Oil & Gas Midstream,8.83,10.47,5.55,10.28,1.6,1.35,1.38,5.9,7.05,8.52,3.25,3.75,1.62,3.58,-0.17,4.71
CSWI,"CSW Industrials, Inc.",Industrials,Specialty Industrial Machinery,173.01,0.45,24.16,19.72,2.02,2.23,5.09,4.77,16.58,15.78,3.82,3.15,1.83,2.33,0.81,0.61
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,84.22,4.59,12.29,13.67,4.05,1.12,6.59,5.31,7.45,9.72,0.45,0.92,1.45,2.75,1.55,5.72
JJSF,J & J Snack Foods Corp.,Consumer Defensive,Packaged Foods,158.87,1.76,29.98,18.32,0.55,3.98,3.56,4.46,25.27,15.9,2.15,2.17,1.18,3.59,0.56,6.46
MUR,Murphy Oil Corporation,Energy,Oil & Gas E&P,40.66,2.71,7.33,8.79,-1.13,-0.58,1.24,2.99,3.23,3.81,2.31,2.6,0.99,0.65,2.38,5.74
AMG,"Affiliated Managers Group, Inc.",Financial Services,Asset Management,162.32,0.02,7.33,12.37,0.54,1.86,1.79,3.49,11.32,13.34,3.86,3.11,3.63,2.9,1.34,1.74
SXT,Sensient Technologies Corporati,Basic Materials,Specialty Chemicals,69.77,2.35,18.66,15.71,5.34,0.89,2.84,3.64,14.62,15.3,2.5,2.25,2.84,4.5,0.88,1.66
ENB,Enbridge Inc,Energy,Oil & Gas Midstream,36.84,7.14,16.45,10.28,6.55,1.35,1.36,5.9,12.54,8.52,3.27,3.75,6.18,3.58,0.9,1.43
WAB,Westinghouse Air Brake Technolo,Industrials,Railroads,112.57,0.6,18.82,16.99,1.74,2.41,2.01,3.92,15.89,13.97,2.83,5.0,2.93,4.62,1.49,1.45
VMC,Vulcan Materials Company (Holdi,Basic Materials,Building Materials,221.34,0.78,28.2,17.7,2.03,3.67,4.22,4.34,20.43,12.43,4.56,3.47,2.73,1.71,0.79,1.19
GE,General Electric Company,Industrials,Specialty Industrial Machinery,109.89,0.29,27.2,19.72,2.03,2.23,3.78,4.77,14.25,15.78,1.58,3.15,2.83,2.33,1.21,1.23
CUBE,CubeSmart,Real Estate,REIT—Industrial,45.83,4.22,26.04,108.81,4.49,-10.63,3.67,3.07,19.87,23.49,13.16,14.66,4.49,5.99,0.6,4.53
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,64.61,4.43,12.82,12.36,52.48,14.6,3.28,2.36,13.06,11.58,2.23,1.5,4.22,2.86,0.73,6.58
ADT,ADT Inc.,Industrials,Security & Protection Services,6.35,2.18,14.77,17.05,4.95,4.97,1.75,5.8,6.21,14.36,2.42,3.22,3.98,2.2,1.71,8.42
NHI,"National Health Investors, Inc.",Real Estate,REIT—Healthcare Facilities,54.86,6.67,18.05,43.56,0.66,0.17,1.88,1.52,15.93,17.53,12.15,10.25,5.32,7.57,0.91,3.56
CINF,Cincinnati Financial Corporatio,Financial Services,Insurance—Property & Casualty,99.99,3.06,16.69,13.32,1.31,-6.63,1.46,2.28,139.35,8.69,2.02,1.62,8.14,-0.38,0.6,1.79
ATNI,"ATN International, Inc.",Communication Services,Telecom Services,35.73,2.38,1786.5,191.6,-2.54,-2.56,0.98,2.33,7.51,9.69,1.7,3.78,3.61,3.46,0.35,2.12
UNF,Unifirst Corporation,Industrials,Specialty Business Services,153.44,0.81,20.43,18.53,2.28,2.02,1.45,3.53,11.54,16.99,1.32,3.51,0.26,3.78,0.84,0.9
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,81.96,0.78,8.78,10.33,0.93,2.53,1.98,2.23,5.37,6.25,1.17,1.08,0.68,1.42,1.38,4.46
CSV,"Carriage Services, Inc.",Consumer Cyclical,Personal Services,33.38,1.34,12.41,21.38,0.98,1.66,3.39,8.14,11.73,16.48,3.11,3.82,6.55,2.8,0.88,2.26
IMO,Imperial Oil Limited,Energy,Oil & Gas Integrated,48.48,3.06,6.94,9.72,-1.54,-0.76,1.21,1.69,2.69,4.55,0.52,1.49,0.39,0.82,1.9,3.04
TEL,TE Connectivity Ltd. New Switze,Technology,Electronic Components,143.09,1.67,19.03,16.85,1.99,1.71,4.1,3.21,13.41,11.76,2.91,2.6,1.18,1.7,1.33,1.09
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,150.13,1.34,15.29,19.72,1.72,2.23,4.71,4.77,13.79,15.78,2.81,3.15,1.99,2.33,1.34,1.22
SPNS,Sapiens International Corporati,Technology,Software—Application,27.49,3.56,19.64,20.59,2.2,17.8,3.63,5.7,16.28,20.89,2.87,5.68,1.07,2.75,1.25,0.75
ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,108.44,0.36,30.04,24.25,8.99,336.9,5.12,9.66,24.24,16.28,6.02,4.95,6.66,1.65,1.24,4.44
ESLT,Elbit Systems Ltd.,Industrials,Aerospace & Defense,221.76,0.94,28.14,21.23,2.74,3.57,3.54,3.47,21.3,16.41,1.91,2.75,2.69,2.87,-0.08,0.33
WHR,Whirlpool Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",156.1,4.48,8.91,10.34,-0.83,1.11,4.17,22.36,10.05,9.35,0.81,0.88,5.32,4.04,1.54,8.83
AMH,American Homes 4 Rent,Real Estate,REIT—Residential,36.29,2.42,74.06,66.32,1.99,12.09,1.92,2.7,23.72,20.78,11.74,10.99,5.81,6.27,0.68,3.06
TGLS,Tecnoglass Inc.,Basic Materials,Building Materials,49.11,0.73,10.75,17.7,13.51,3.67,5.87,4.34,8.15,12.43,3.02,3.47,0.59,1.71,1.82,4.52
WNC,Wabash National Corporation,Industrials,Farm & Heavy Construction Machinery,24.99,1.34,7.71,12.47,0.39,0.91,2.8,2.82,5.72,11.82,0.58,1.24,1.61,2.95,1.6,23.96
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,88.35,3.64,9.95,15.71,1.13,0.89,2.03,3.64,9.11,15.3,1.51,2.25,3.36,4.5,1.52,1.35
GOGL,Golden Ocean Group Limited,Industrials,Marine Shipping,7.35,16.89,5.83,5.57,-46.05,-2.91,0.79,0.76,6.03,4.45,2.56,2.3,2.96,2.51,1.28,4.52
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,115.31,0.39,24.59,24.25,4.62,336.9,7.32,9.66,19.31,16.28,5.61,4.95,0.14,1.65,1.52,3.98
GPC,Genuine Parts Company,Consumer Cyclical,Specialty Retail,168.07,2.27,17.03,13.67,2.07,1.12,6.02,5.31,13.06,9.72,1.21,0.92,2.03,2.75,0.92,2.09
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,124.42,2.57,12.89,15.76,-1.43,-0.32,7.04,9.08,10.21,28.89,3.6,8.82,1.1,1.66,1.23,0.92
CSWC,Capital Southwest Corporation,Financial Services,Asset Management,20.96,11.26,8.22,12.37,8.04,1.86,1.28,3.49,13.81,13.34,11.66,3.11,6.38,2.9,1.25,1.05
FSS,Federal Signal Corporation,Industrials,Pollution & Treatment Controls,62.37,0.63,22.68,24.55,1.68,2.64,4.31,3.69,18.28,20.9,2.79,3.3,1.77,2.2,1.11,1.11
GEN,Gen Digital Inc.,Technology,Software—Infrastructure,19.32,2.6,8.08,16.62,0.69,1.7,5.62,48.17,13.7,16.38,6.43,5.64,6.27,2.6,1.07,3.27
MU,"Micron Technology, Inc.",Technology,Semiconductors,64.96,0.71,-69.11,15.76,0.92,-0.32,1.57,9.08,14.6,28.89,4.12,8.82,2.72,1.66,1.34,1.72
EIX,Edison International,Utilities,Utilities—Regulated Electric,70.64,4.18,13.88,16.83,3.24,1.98,1.98,1.91,11.65,12.76,3.76,4.19,6.23,5.63,0.81,2.7
DGICA,"Donegal Group, Inc.",Financial Services,Insurance—Property & Casualty,14.54,4.73,11.02,13.32,1.91,-6.63,0.97,2.28,-54.82,8.69,0.52,1.62,-4.2,-0.38,-0.04,0.93
CTRE,"CareTrust REIT, Inc.",Real Estate,REIT—Healthcare Facilities,20.67,5.54,19.88,43.56,3.95,0.17,2.44,1.52,15.87,17.53,13.55,10.25,4.27,7.57,1.13,14.76
AIG,"American International Group, I",Financial Services,Insurance—Diversified,59.12,2.43,7.68,7.4,0.61,0.66,1.0,2.12,3.75,6.5,1.09,1.04,1.71,1.76,1.14,0.92
HCKT,"The Hackett Group, Inc.",Technology,Information Technology Services,22.8,1.93,13.65,14.98,0.99,2.2,9.77,5.12,10.99,12.69,2.32,2.17,1.01,2.8,0.88,2.56
ABT,Abbott Laboratories,Healthcare,Medical Devices,107.28,1.91,23.22,23.38,-9.01,1.68,5.04,4.97,18.07,21.29,4.66,4.93,1.59,3.13,0.66,0.76
KFY,Korn Ferry,Industrials,Staffing & Employment Services,54.71,1.36,12.1,15.08,0.9,0.28,1.74,8.79,6.04,10.52,0.87,1.79,1.39,1.05,1.49,2.25
SSTK,"Shutterstock, Inc.",Communication Services,Internet Content & Information,55.62,1.94,12.47,12.47,0.93,0.93,4.19,4.19,11.89,11.89,2.32,2.32,0.27,0.27,1.18,21.74
TEX,Terex Corporation,Industrials,Farm & Heavy Construction Machinery,63.5,1.07,10.44,12.47,1.27,0.91,3.3,2.82,8.95,11.82,1.04,1.24,1.44,2.95,1.68,7.33
PK,Park Hotels & Resorts Inc.,Real Estate,REIT—Hotel & Motel,13.47,4.45,16.84,9.94,-0.71,-0.64,0.69,7.25,10.69,11.07,2.53,2.97,7.53,5.55,1.96,12.0
PVH,PVH Corp.,Consumer Cyclical,Apparel Manufacturing,87.67,0.17,7.81,10.19,0.78,1.86,1.07,2.79,7.78,9.8,0.99,1.24,3.3,2.86,2.07,5.03
TXRH,"Texas Roadhouse, Inc.",Consumer Cyclical,Restaurants,117.27,1.89,21.48,16.3,1.38,1.3,7.45,6.64,17.83,14.35,2.01,2.33,1.52,4.66,0.98,8.72
MATV,"Mativ Holdings, Inc.",Basic Materials,Specialty Chemicals,16.05,10.24,5.4,15.71,1.52,0.89,0.76,3.64,10.45,15.3,1.05,2.25,7.28,4.5,0.8,4.08
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,118.02,3.46,8.95,13.72,-0.23,13.0,1.71,4.72,2.41,6.76,0.3,0.71,0.54,2.84,1.64,2.92
AWI,Armstrong World Industries Inc,Industrials,Building Products & Equipment,74.25,1.37,13.93,16.35,1.32,2.2,6.16,4.83,12.47,13.06,3.09,2.4,2.24,2.04,1.13,3.03
AVT,"Avnet, Inc.",Technology,Electronics & Computer Distribution,48.79,2.34,8.6,10.68,0.64,1.21,0.96,1.76,5.91,7.29,0.29,0.33,2.59,1.28,1.4,4.0
CSX,CSX Corporation,Industrials,Railroads,33.8,1.3,16.17,16.99,2.19,2.41,5.57,3.92,11.11,13.97,5.59,5.0,2.43,4.62,1.22,0.85
NTST,NetSTREIT Corp.,Real Estate,REIT—Retail,17.69,4.55,93.11,37.98,15.71,-8.65,0.99,2.46,21.86,18.33,14.73,11.66,6.86,7.04,0.9,5.01
DOC,Physicians Realty Trust,Real Estate,REIT—Healthcare Facilities,14.81,6.39,61.71,43.56,-4.64,0.17,1.22,1.52,17.08,17.53,10.23,10.25,5.88,7.57,0.79,6.57
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,49.93,0.02,19.2,15.49,-0.08,2.52,3.79,8.96,24.56,11.25,3.29,3.02,17.1,5.26,2.07,3.52
OXM,"Oxford Industries, Inc.",Consumer Cyclical,Apparel Manufacturing,107.98,2.41,9.37,10.19,0.95,1.86,2.81,2.79,7.57,9.8,1.4,1.24,1.41,2.86,1.5,9.81
CRD-A,Crawford & Company,Financial Services,Insurance Brokers,9.9,2.37,7.5,19.29,0.89,1.94,3.37,5.03,9.33,17.38,0.65,4.16,4.19,2.59,0.72,1.79
WTTR,"Select Water Solutions, Inc.",Basic Materials,Specialty Chemicals,8.24,2.4,6.06,15.71,-0.38,0.89,1.17,3.64,5.65,15.3,0.75,2.25,0.68,4.5,1.98,3.39
OLN,Olin Corporation,Basic Materials,Specialty Chemicals,54.78,1.46,7.86,15.71,0.72,0.89,2.84,3.64,4.68,15.3,1.15,2.25,1.45,4.5,1.44,2.29
GLW,Corning Incorporated,Technology,Electronic Components,33.6,3.33,13.94,16.85,2.0,1.71,2.32,3.21,11.73,11.76,2.6,2.6,2.58,1.7,1.06,1.25
FIS,Fidelity National Information S,Technology,Information Technology Services,60.83,3.42,9.36,14.98,4.92,2.2,1.33,5.12,13.16,12.69,3.73,2.17,4.86,2.8,0.83,1.84
RHP,"Ryman Hospitality Properties, I",Real Estate,REIT—Hotel & Motel,93.69,4.22,19.28,9.94,1.55,-0.64,51.42,7.25,13.23,11.07,4.07,2.97,4.89,5.55,1.57,3.13
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,122.11,2.46,9.5,13.72,-0.37,13.0,1.96,4.72,2.99,6.76,0.43,0.71,1.13,2.84,1.62,2.53
ARTNA,Artesian Resources Corporation,Utilities,Utilities—Regulated Water,48.06,2.37,24.03,27.77,6.99,5.39,2.42,3.14,15.71,18.84,6.61,7.75,4.81,4.8,0.15,1.46
FRO,Frontline Plc,Energy,Oil & Gas Midstream,15.0,18.52,6.0,10.28,-0.37,1.35,1.5,5.9,6.44,8.52,3.09,3.75,2.9,3.58,0.26,3.5
IRDM,Iridium Communications Inc,Communication Services,Telecom Services,60.47,0.86,147.49,191.6,2.88,-2.56,7.01,2.33,23.34,9.69,11.83,3.78,3.9,3.46,1.06,3.03
EBIX,"Ebix, Inc.",Technology,Software—Application,27.76,1.07,12.34,20.59,2.23,17.8,1.35,5.7,10.21,20.89,1.42,5.68,4.49,2.75,2.43,23.56
INTC,Intel Corporation,Technology,Semiconductors,34.46,1.45,19.8,15.76,13.18,-0.32,1.47,9.08,17.15,28.89,3.0,8.82,5.1,1.66,0.88,1.54
LEA,Lear Corporation,Consumer Cyclical,Auto Parts,149.04,2.07,9.15,12.02,0.36,0.86,1.81,2.6,7.74,9.9,0.53,1.45,2.28,2.66,1.58,3.04
EXP,Eagle Materials Inc,Basic Materials,Building Materials,192.54,0.53,13.17,17.7,1.78,3.67,5.81,4.34,10.7,12.43,3.6,3.47,1.55,1.71,1.34,2.75
SCHL,Scholastic Corporation,Communication Services,Publishing,40.47,1.98,15.27,18.81,2.25,4.6,1.16,2.46,10.68,13.16,0.73,1.63,0.78,1.19,1.06,11.75
AEE,Ameren Corporation,Utilities,Utilities—Regulated Electric,85.19,2.98,18.2,16.83,3.27,1.98,2.11,1.91,12.45,12.76,4.82,4.19,5.11,5.63,0.44,1.24
SSNC,"SS&C Technologies Holdings, Inc",Technology,Software—Application,62.32,1.31,11.61,20.59,1.62,17.8,2.55,5.7,12.96,20.89,4.19,5.68,4.2,2.75,1.43,1.5
GES,"Guess?, Inc.",Consumer Cyclical,Apparel Retail,20.04,6.01,6.72,11.25,1.64,-0.89,2.37,4.09,7.52,9.37,0.79,1.06,4.58,3.3,1.93,26.5
KIM,Kimco Realty Corporation (HC),Real Estate,REIT—Retail,20.86,4.49,32.09,37.98,-1.0,-8.65,1.34,2.46,18.7,18.33,11.4,11.66,6.84,7.04,1.45,2.8
GIL,"Gildan Activewear, Inc.",Consumer Cyclical,Apparel Manufacturing,32.18,2.31,9.52,10.19,3.45,1.86,3.03,2.79,10.12,9.8,2.16,1.24,1.83,2.86,1.49,2.6
UFPI,"UFP Industries, Inc.",Basic Materials,Lumber & Wood Production,102.65,0.97,11.66,15.65,0.73,2.46,2.38,3.36,6.54,9.54,0.71,1.94,0.41,0.78,1.52,2.91
AMSF,"AMERISAFE, Inc.",Financial Services,Insurance—Specialty,53.85,2.56,18.57,9.57,1.7,1.23,3.1,1.33,13.63,9.96,3.17,2.6,0.0,2.69,0.36,1.12
EURN,Euronav NV,Energy,Oil & Gas Midstream,14.98,12.57,4.94,10.28,-0.42,1.35,1.29,5.9,7.23,8.52,4.12,3.75,2.64,3.58,-0.01,0.63
CP,Canadian Pacific Kansas City Li,Industrials,Railroads,80.74,0.71,22.43,16.99,3.41,2.41,1.9,3.92,19.01,13.97,10.18,5.0,3.92,4.62,0.83,1.69
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,39.23,0.92,5.95,17.64,1.31,0.04,0.79,7.65,8.54,19.5,0.94,4.42,6.58,6.02,1.39,2.41
PEB,Pebblebrook Hotel Trust,Real Estate,REIT—Hotel & Motel,14.24,0.28,-47.47,9.94,-6.17,-0.64,0.6,7.25,12.83,11.07,3.08,2.97,7.98,5.55,1.82,27.31
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,75.16,1.98,15.21,15.71,1.25,0.89,1.29,3.64,12.1,15.3,2.93,2.25,2.77,4.5,1.24,2.03
CLB,Core Laboratories Inc.,Energy,Oil & Gas Equipment & Services,24.69,0.16,21.28,13.13,1.4,0.34,5.89,3.21,20.35,10.91,2.65,2.2,3.6,1.98,2.67,25.32
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,122.44,2.77,9.7,8.79,-11.28,-0.58,2.81,2.99,4.38,3.81,2.42,2.6,0.27,0.65,1.54,1.19
VSEC,VSE Corporation,Industrials,Aerospace & Defense,54.41,0.74,13.64,21.23,0.88,3.57,1.53,3.47,12.31,16.41,1.1,2.75,4.38,2.87,1.51,1.79
KBR,"KBR, Inc.",Industrials,Engineering & Construction,63.81,0.85,17.63,18.24,1.3,4.2,5.28,3.78,19.1,15.1,1.56,1.32,3.71,2.45,1.13,4.42
MCY,Mercury General Corporation,Financial Services,Insurance—Property & Casualty,29.78,4.36,14.89,13.32,-0.31,-6.63,1.13,2.28,-4.42,8.69,0.43,1.62,-1.22,-0.38,0.59,1.51
EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,91.67,2.27,19.8,19.72,2.18,2.23,4.61,4.77,13.6,15.78,3.28,3.15,2.16,2.33,1.41,1.01
AIT,Applied Industrial Technologies,Industrials,Industrial Distribution,146.13,0.96,16.93,18.58,1.4,2.72,4.09,7.08,11.91,13.83,1.4,2.04,1.23,1.31,1.22,1.62
LAKE,"Lakeland Industries, Inc.",Consumer Cyclical,Apparel Manufacturing,15.31,0.78,13.2,10.19,0.78,1.86,0.94,2.79,11.2,9.8,0.79,1.24,0.58,2.86,0.56,3.03
HOG,"Harley-Davidson, Inc.",Consumer Cyclical,Recreational Vehicles,36.74,1.8,7.5,11.01,0.18,0.57,2.03,2.86,9.77,8.06,1.92,1.07,6.07,2.74,1.4,4.8
CMRE,Costamare Inc.,Industrials,Marine Shipping,9.88,4.69,3.24,5.57,-0.16,-2.91,0.53,0.76,4.54,4.45,2.65,2.3,4.09,2.51,1.45,4.58
SIGI,"Selective Insurance Group, Inc.",Financial Services,Insurance—Property & Casualty,98.53,1.22,13.07,13.32,1.14,-6.63,2.41,2.28,16.21,8.69,1.72,1.62,1.28,-0.38,0.6,2.4
MSEX,Middlesex Water Company,Utilities,Utilities—Regulated Water,82.35,1.55,30.96,27.77,12.84,5.39,3.61,3.14,24.7,18.84,11.15,7.75,5.12,4.8,0.72,4.45
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,102.46,4.1,8.68,13.72,-0.52,13.0,1.55,4.72,4.89,6.76,0.38,0.71,1.5,2.84,1.35,2.2
REG,Regency Centers Corporation,Real Estate,REIT—Retail,64.75,4.02,29.98,37.98,-44.7,-8.65,1.82,2.46,18.27,18.33,11.69,11.66,4.81,7.04,1.18,2.96
ATO,Atmos Energy Corporation,Utilities,Utilities—Regulated Gas,121.17,2.47,18.84,14.79,2.56,2.96,1.72,1.98,14.97,17.02,5.19,3.14,4.15,8.25,0.61,3.75
BSY,"Bentley Systems, Incorporated",Technology,Software—Application,53.94,0.36,54.48,20.59,-33.72,17.8,27.41,5.7,62.48,20.89,16.3,5.68,5.78,2.75,1.2,6.19
STRA,"Strategic Education, Inc.",Consumer Defensive,Education & Training Services,68.65,3.5,17.69,13.6,1.5,1.14,1.04,0.89,14.02,10.17,1.6,1.2,2.12,2.18,0.57,8.47
POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,62.79,1.65,24.72,15.74,2.88,-2.69,2.44,5.09,18.69,12.8,0.98,2.0,0.06,2.25,0.92,2.01
JCI,Johnson Controls International ,Industrials,Building Products & Equipment,69.47,2.13,17.07,16.35,1.24,2.2,3.0,4.83,17.66,13.06,2.25,2.4,3.56,2.04,1.24,0.84
CNXC,Concentrix Corporation,Technology,Information Technology Services,83.69,1.32,7.58,14.98,1.27,2.2,1.5,5.12,6.84,12.69,1.06,2.17,2.59,2.8,0.49,4.27
AEIS,"Advanced Energy Industries, Inc",Industrials,Electrical Equipment & Parts,119.62,0.33,20.1,15.74,2.61,-2.69,4.1,5.09,14.93,12.8,2.41,2.0,1.57,2.25,1.55,4.66
BVH,Bluegreen Vacations Holding Cor,Consumer Cyclical,Resorts & Casinos,37.01,1.87,7.96,15.49,0.93,2.52,3.24,8.96,5.0,11.25,1.5,3.02,3.13,5.26,1.77,3.03
MWA,MUELLER WATER PRODUCTS,Industrials,Specialty Industrial Machinery,16.29,1.5,20.88,19.72,2.47,2.23,3.63,4.77,16.17,15.78,2.23,3.15,2.61,2.33,1.32,1.65
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,157.48,0.63,23.97,19.72,2.6,2.23,4.68,4.77,20.53,15.78,6.11,3.15,1.29,2.33,1.22,0.88
ZEUS,"Olympic Steel, Inc.",Basic Materials,Steel,53.51,0.93,15.25,13.94,0.42,0.19,1.14,1.55,7.05,5.95,0.35,0.71,2.4,1.56,1.8,5.84
HLIO,"Helios Technologies, Inc.",Industrials,Specialty Industrial Machinery,64.15,0.56,14.35,19.72,4.33,2.23,2.59,4.77,15.01,15.78,3.05,3.15,3.12,2.33,1.21,0.98
KNSL,"Kinsale Capital Group, Inc.",Financial Services,Insurance—Property & Casualty,376.39,0.15,29.5,13.32,2.38,-6.63,10.68,2.28,37.21,8.69,9.74,1.62,0.83,-0.38,0.91,3.38
PKOH,Park-Ohio Holdings Corp.,Industrials,Specialty Industrial Machinery,18.8,2.63,5.28,19.72,0.51,2.23,0.85,4.77,9.09,15.78,0.57,3.15,7.22,2.33,1.36,2.6
RICK,"RCI Hospitality Holdings, Inc.",Consumer Cyclical,Restaurants,70.21,0.34,11.49,16.3,0.34,1.3,2.4,6.64,10.55,14.35,3.25,2.33,3.25,4.66,1.65,3.84
DLX,Deluxe Corporation,Communication Services,Advertising Agencies,18.94,6.36,5.7,8.06,0.79,0.75,1.38,2.59,7.66,7.69,1.15,1.28,5.33,4.09,1.6,6.34
CC,Chemours Company (The),Basic Materials,Specialty Chemicals,38.57,2.59,7.18,15.71,0.91,0.89,4.69,3.64,8.89,15.3,1.34,2.25,3.9,4.5,1.97,5.18
RDN,Radian Group Inc.,Financial Services,Insurance—Specialty,26.46,3.5,8.43,9.57,3.83,1.23,1.01,1.33,4.75,9.96,4.26,2.6,1.46,2.69,1.09,6.0
SRE,DBA Sempra,Utilities,Utilities—Diversified,146.53,3.25,15.31,16.27,3.88,2.76,1.72,2.62,15.19,12.36,4.58,3.38,5.74,5.32,0.74,0.57
ESEA,Euroseas Ltd.,Industrials,Marine Shipping,20.19,9.74,1.89,5.57,0.3,-2.91,0.75,0.76,2.2,4.45,1.31,2.3,1.12,2.51,0.77,0.18
CHH,"Choice Hotels International, In",Consumer Cyclical,Lodging,123.59,0.93,19.13,22.63,4.39,5.72,133.61,139.59,14.39,15.62,10.51,8.24,2.72,3.25,1.27,15.57
CMCO,Columbus McKinnon Corporation,Industrials,Farm & Heavy Construction Machinery,41.7,0.67,12.56,12.47,0.64,0.91,1.43,2.82,11.43,11.82,1.68,1.24,3.84,2.95,1.25,0.73
PRMW,Primo Water Corporation,Consumer Defensive,Beverages—Non-Alcoholic,13.78,2.4,13.64,18.81,1.0,2.64,1.75,7.15,9.91,16.76,1.72,3.94,4.52,3.63,1.12,0.99
MDU,"MDU Resources Group, Inc.",Industrials,Conglomerates,21.73,4.1,13.67,13.14,-6.4,0.56,1.24,3.54,8.5,11.46,1.08,1.7,3.78,3.48,0.66,1.54
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,212.72,1.02,21.36,19.29,2.27,1.94,4.64,5.03,20.98,17.38,6.15,4.16,2.88,2.59,0.71,0.89
TGT,Target Corporation,Consumer Defensive,Discount Stores,132.7,3.32,13.05,21.59,-2.12,2.58,5.28,6.9,11.68,15.36,0.71,0.97,2.85,2.49,1.01,2.17
IDA,"IDACORP, Inc.",Utilities,Utilities—Regulated Electric,102.62,3.1,19.0,16.83,5.52,1.98,1.84,1.91,14.88,12.76,4.3,4.19,5.21,5.63,0.6,2.29
CMTL,Comtech Telecommunications Corp,Technology,Communication Equipment,9.54,4.34,11.63,12.3,0.99,3.5,0.6,22.97,19.71,-2.99,1.04,2.0,7.52,-0.29,1.65,1.0
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,140.19,1.43,18.49,23.83,4.88,1.16,4.18,6.85,14.29,23.04,4.1,9.04,1.66,3.21,0.52,2.98
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,114.5,2.16,12.37,15.76,0.91,-0.32,3.18,9.08,10.4,28.89,3.8,8.82,1.19,1.66,1.27,2.76
SAIC,SCIENCE APPLICATIONS INTERNATIO,Technology,Information Technology Services,116.07,1.29,15.21,14.98,3.7,2.2,3.7,5.12,11.91,12.69,1.07,2.17,3.65,2.8,0.73,1.56
LAMR,Lamar Advertising Company,Real Estate,REIT—Specialty,102.3,4.89,18.27,30.83,6.54,62.8,8.98,6.83,16.35,18.91,7.29,9.08,5.02,6.43,1.41,2.81
SPH,"Suburban Propane Partners, L.P.",Utilities,Utilities—Regulated Gas,14.94,8.73,6.12,14.79,2.04,2.96,1.56,1.98,10.17,17.02,1.58,3.14,6.04,8.25,0.64,1.34
GPI,"Group 1 Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships,271.12,0.68,7.1,10.33,0.56,3.56,1.58,3.48,6.22,8.29,0.43,0.58,2.98,4.24,1.48,22.62
AXS,Axis Capital Holdings Limited,Financial Services,Insurance—Specialty,53.9,3.34,6.18,9.57,0.34,1.23,1.04,1.33,15.59,9.96,1.08,2.6,4.14,2.69,0.85,1.01
HSY,The Hershey Company,Consumer Defensive,Confectioners,242.66,1.73,23.56,22.3,2.72,2.68,14.34,8.94,19.99,19.57,5.05,4.31,1.85,2.78,0.29,2.61
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,213.55,2.47,14.45,21.23,1.57,3.57,3.06,3.47,12.9,16.41,1.72,2.75,2.28,2.87,0.82,1.06
FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,169.2,0.48,21.26,18.24,2.4,4.2,5.73,3.78,16.59,15.1,1.4,1.32,0.92,2.45,1.19,2.59
